variant	keys	value_bytes	segments	phase	ops	elapsed_ms	ns_per_op	key_clone_mb	entry_clone_mb	payload_clone_mb	rss_kb	rss_delta_kb	checksum
seg_deep_hash	100000	1024	1024	snapshot	1	0.009	8792.000	0.000000	0.000000	0.000000	122464	96	40
seg_deep_hash	100000	1024	1024	iter_snapshot	100000	1.425	14.247	0.000000	0.000000	0.000000	122592	96	115146320
seg_deep_hash	100000	1024	1024	get_live	200000	22.918	114.588	0.000000	0.000000	0.000000	122592	0	230311800
seg_deep_hash	100000	1024	1024	replace_live	10000	4.849	484.913	0.000000	0.000000	0.000000	244240	9584	10000
seg_deep_hash	100000	1024	1024	mutate_live	10000	2.316	231.613	0.000000	0.000000	0.000000	356160	0	10000
seg_deep_hash	100000	1024	1024	incr_live	10000	2.273	227.333	0.000000	0.000000	0.000000	467968	0	13519969404082677836
seg_deep_hash	100000	1024	1024	replace_held_snapshot	10000	31.438	3143.817	1.525314	0.000000	97.620117	683968	114560	10000
seg_deep_hash	100000	1024	1024	mutate_held_snapshot	10000	23.627	2362.713	1.525314	0.000000	97.620117	907248	111440	10000
seg_deep_hash	100000	1024	1024	incr_held_snapshot	10000	23.899	2389.946	1.525314	0.000000	97.620117	1130576	111504	13519969404082677836
seg_entry_hash	100000	1024	1024	snapshot	1	0.008	7542.000	0.000000	0.000000	0.000000	215152	64	40
seg_entry_hash	100000	1024	1024	iter_snapshot	100000	1.302	13.019	0.000000	0.000000	0.000000	215232	16	18446744068706885536
seg_entry_hash	100000	1024	1024	get_live	200000	20.367	101.833	0.000000	0.000000	0.000000	215232	0	18446744063706640020
seg_entry_hash	100000	1024	1024	metadata_live	10000	1.083	108.321	0.000000	0.000000	0.000000	324304	0	10000
seg_entry_hash	100000	1024	1024	replace_live	10000	5.546	554.617	0.000000	0.000000	0.000000	439520	176	10000
seg_entry_hash	100000	1024	1024	mutate_live	10000	2.428	242.842	0.000000	0.000000	0.000000	554384	0	10000
seg_entry_hash	100000	1024	1024	incr_live	10000	2.675	267.517	0.000000	0.000000	0.000000	669264	0	2891317570642566348
seg_entry_hash	100000	1024	1024	metadata_held_snapshot	10000	3.686	368.621	1.525314	2.287971	0.000000	793648	9488	10000
seg_entry_hash	100000	1024	1024	replace_held_snapshot	10000	6.725	672.454	1.525314	2.287971	0.000000	920784	13136	10000
seg_entry_hash	100000	1024	1024	mutate_held_snapshot	10000	8.980	898.017	1.525314	2.287971	9.313477	1047408	17952	10000
seg_entry_hash	100000	1024	1024	incr_held_snapshot	10000	11.068	1106.783	1.525314	2.287971	9.313477	1183968	21136	2891317570642566348
