variant	keys	value_bytes	segments	phase	ops	elapsed_ms	ns_per_op	key_clone_mb	payload_clone_mb	checksum
deep	100000	1024	1024	snapshot	1	33.528	33528334.000	1.525879	97.656250	48
deep	100000	1024	1024	iter_snapshot	100000	1.628	16.276	0.000000	0.000000	115145040
deep	100000	1024	1024	get_live	200000	18.403	92.013	0.000000	0.000000	230303864
deep	100000	1024	1024	replace_live	10000	4.856	485.579	0.000000	0.000000	10000
deep	100000	1024	1024	mutate_live	10000	2.440	243.954	0.000000	0.000000	10000
deep	100000	1024	1024	replace_held_snapshot	10000	3.887	388.721	0.000000	0.000000	10000
deep	100000	1024	1024	mutate_held_snapshot	10000	1.759	175.921	0.000000	0.000000	10000
arc	100000	1024	1024	snapshot	1	5.049	5048833.000	1.525879	0.000000	48
arc	100000	1024	1024	iter_snapshot	100000	1.275	12.747	0.000000	0.000000	115147600
arc	100000	1024	1024	get_live	200000	22.817	114.083	0.000000	0.000000	230268792
arc	100000	1024	1024	replace_live	10000	15.231	1523.054	0.000000	0.000000	10000
arc	100000	1024	1024	mutate_live	10000	3.167	316.742	0.000000	0.000000	10000
arc	100000	1024	1024	replace_held_snapshot	10000	3.202	320.196	0.000000	0.000000	10000
arc	100000	1024	1024	mutate_held_snapshot	10000	10.954	1095.392	0.000000	9.313477	10000
seg	100000	1024	1024	snapshot	1	0.004	3500.000	0.000000	0.000000	32
seg	100000	1024	1024	iter_snapshot	100000	3.878	38.779	0.000000	0.000000	115150160
seg	100000	1024	1024	get_live	200000	18.358	91.791	0.000000	0.000000	230273912
seg	100000	1024	1024	replace_live	10000	14.025	1402.463	0.000000	0.000000	10000
seg	100000	1024	1024	mutate_live	10000	2.692	269.158	0.000000	0.000000	10000
seg	100000	1024	1024	replace_held_snapshot	10000	5.063	506.308	1.525879	0.000000	10000
seg	100000	1024	1024	mutate_held_snapshot	10000	9.165	916.458	1.525879	9.313477	10000
im	100000	1024	1024	snapshot	1	0.000	0.000	0.000000	0.000000	24
im	100000	1024	1024	iter_snapshot	100000	12.646	126.457	0.000000	0.000000	115152720
im	100000	1024	1024	get_live	200000	34.433	172.167	0.000000	0.000000	230280568
im	100000	1024	1024	replace_live	10000	13.796	1379.621	0.000000	0.000000	10000
im	100000	1024	1024	mutate_live	10000	2.178	217.767	0.000000	0.000000	10000
im	100000	1024	1024	replace_held_snapshot	10000	10.079	1007.913	0.534195	0.000000	10000
im	100000	1024	1024	mutate_held_snapshot	10000	10.726	1072.567	0.531982	9.313477	10000
