variant	keys	value_bytes	segments	phase	ops	elapsed_ms	ns_per_op	key_clone_mb	entry_clone_mb	payload_clone_mb	rss_kb	rss_delta_kb	checksum
entry	100000	64	1024	snapshot	1	3.865	3864541.000	1.525879	2.288818	0.000000	33888	7856	48
entry	100000	64	1024	iter_snapshot	100000	0.911	9.113	0.000000	0.000000	0.000000	40304	0	18446744068713845024
entry	100000	64	1024	get_live	200000	15.063	75.314	0.000000	0.000000	0.000000	40320	16	18446744063720212052
entry	100000	64	1024	metadata_live	10000	0.870	86.992	0.000000	0.000000	0.000000	59136	0	10000
entry	100000	64	1024	replace_live	10000	13.788	1378.796	0.000000	0.000000	0.000000	78336	288	10000
entry	100000	64	1024	mutate_live	10000	2.449	244.867	0.000000	0.000000	0.000000	90640	0	10000
entry	100000	64	1024	incr_live	10000	1.624	162.358	0.000000	0.000000	0.000000	109472	0	5277990220101649612
entry	100000	64	1024	metadata_held_snapshot	10000	1.289	128.863	0.000000	0.000000	0.000000	136128	0	10000
entry	100000	64	1024	replace_held_snapshot	10000	1.981	198.146	0.000000	0.000000	0.000000	163856	1040	10000
entry	100000	64	1024	mutate_held_snapshot	10000	1.881	188.075	0.000000	0.000000	0.582092	191584	1040	10000
entry	100000	64	1024	incr_held_snapshot	10000	2.171	217.088	0.000000	0.000000	0.582092	219280	1040	5277990220101649612
seg_deep_hash	100000	64	1024	snapshot	1	0.003	3417.000	0.000000	0.000000	0.000000	223296	0	40
seg_deep_hash	100000	64	1024	iter_snapshot	100000	0.554	5.539	0.000000	0.000000	0.000000	223296	0	12748368
seg_deep_hash	100000	64	1024	get_live	200000	13.786	68.932	0.000000	0.000000	0.000000	223296	0	25522168
seg_deep_hash	100000	64	1024	replace_live	10000	1.743	174.258	0.000000	0.000000	0.000000	228112	16	10000
seg_deep_hash	100000	64	1024	mutate_live	10000	0.864	86.396	0.000000	0.000000	0.000000	231680	0	10000
seg_deep_hash	100000	64	1024	incr_live	10000	1.099	109.917	0.000000	0.000000	0.000000	235760	0	13519969404082677836
seg_deep_hash	100000	64	1024	replace_held_snapshot	10000	8.745	874.467	1.525314	0.000000	6.101257	254528	9072	10000
seg_deep_hash	100000	64	1024	mutate_held_snapshot	10000	7.512	751.208	1.525314	0.000000	6.101257	275552	10112	10000
seg_deep_hash	100000	64	1024	incr_held_snapshot	10000	7.008	700.771	1.525314	0.000000	6.101257	307264	15392	13519969404082677836
seg_hash	100000	64	1024	snapshot	1	0.004	3541.000	0.000000	0.000000	0.000000	303824	0	40
seg_hash	100000	64	1024	iter_snapshot	100000	0.922	9.221	0.000000	0.000000	0.000000	303824	0	12750032
seg_hash	100000	64	1024	get_live	200000	15.969	79.844	0.000000	0.000000	0.000000	303824	0	25499000
seg_hash	100000	64	1024	replace_live	10000	2.538	253.808	0.000000	0.000000	0.000000	303840	0	10000
seg_hash	100000	64	1024	mutate_live	10000	1.206	120.575	0.000000	0.000000	0.000000	310896	0	10000
seg_hash	100000	64	1024	incr_live	10000	1.189	118.942	0.000000	0.000000	0.000000	319728	0	5277990220101649612
seg_hash	100000	64	1024	replace_held_snapshot	10000	3.636	363.583	1.525314	0.000000	0.000000	322560	1744	10000
seg_hash	100000	64	1024	mutate_held_snapshot	10000	4.125	412.521	1.525314	0.000000	0.582092	329184	448	10000
seg_hash	100000	64	1024	incr_held_snapshot	10000	3.856	385.571	1.525314	0.000000	0.582092	340960	1072	5277990220101649612
seg_entry_hash	100000	64	1024	snapshot	1	0.004	3708.000	0.000000	0.000000	0.000000	342176	0	40
seg_entry_hash	100000	64	1024	iter_snapshot	100000	1.255	12.554	0.000000	0.000000	0.000000	342176	0	18446744068710247072
seg_entry_hash	100000	64	1024	get_live	200000	20.343	101.715	0.000000	0.000000	0.000000	342176	0	18446744063713069972
seg_entry_hash	100000	64	1024	metadata_live	10000	1.033	103.333	0.000000	0.000000	0.000000	342176	0	10000
seg_entry_hash	100000	64	1024	replace_live	10000	11.313	1131.283	0.000000	0.000000	0.000000	342176	0	10000
seg_entry_hash	100000	64	1024	mutate_live	10000	1.264	126.400	0.000000	0.000000	0.000000	342816	0	10000
seg_entry_hash	100000	64	1024	incr_live	10000	1.362	136.229	0.000000	0.000000	0.000000	350128	0	2891317570642566348
seg_entry_hash	100000	64	1024	metadata_held_snapshot	10000	2.772	277.150	1.525314	2.287971	0.000000	365264	2656	10000
seg_entry_hash	100000	64	1024	replace_held_snapshot	10000	3.640	363.983	1.525314	2.287971	0.000000	379712	0	10000
seg_entry_hash	100000	64	1024	mutate_held_snapshot	10000	4.262	426.225	1.525314	2.287971	0.582092	383424	3712	10000
seg_entry_hash	100000	64	1024	incr_held_snapshot	10000	4.666	466.562	1.525314	2.287971	0.582092	409280	9600	2891317570642566348
