variant	keys	value_bytes	segments	phase	ops	elapsed_ms	ns_per_op	key_clone_mb	payload_clone_mb	rss_kb	rss_delta_kb	checksum
deep	100000	64	1024	snapshot	1	9.420	9419667.000	1.525879	6.103516	35408	14128	48
deep	100000	64	1024	iter_snapshot	100000	0.334	3.344	0.000000	0.000000	41824	0	12747088
deep	100000	64	1024	get_live	200000	11.563	57.815	0.000000	0.000000	41920	0	25501560
deep	100000	64	1024	replace_live	10000	12.768	1276.825	0.000000	0.000000	56032	0	10000
deep	100000	64	1024	mutate_live	10000	2.102	210.167	0.000000	0.000000	70240	0	10000
deep	100000	64	1024	incr_live	10000	1.041	104.075	0.000000	0.000000	78048	0	4697570005460379596
deep	100000	64	1024	replace_held_snapshot	10000	2.062	206.225	0.000000	0.000000	106896	592	10000
deep	100000	64	1024	mutate_held_snapshot	10000	1.123	112.304	0.000000	0.000000	135104	0	10000
deep	100000	64	1024	incr_held_snapshot	10000	0.975	97.463	0.000000	0.000000	163344	0	4697570005460379596
arc	100000	64	1024	snapshot	1	3.344	3344208.000	1.525879	0.000000	169616	480	48
arc	100000	64	1024	iter_snapshot	100000	0.702	7.020	0.000000	0.000000	169616	0	12749520
arc	100000	64	1024	get_live	200000	11.831	59.156	0.000000	0.000000	169616	0	25522040
arc	100000	64	1024	replace_live	10000	12.327	1232.675	0.000000	0.000000	179264	384	10000
arc	100000	64	1024	mutate_live	10000	1.127	112.746	0.000000	0.000000	190208	0	10000
arc	100000	64	1024	incr_live	10000	1.306	130.637	0.000000	0.000000	201168	0	5636856418155096524
arc	100000	64	1024	replace_held_snapshot	10000	1.546	154.613	0.000000	0.000000	213184	1056	10000
arc	100000	64	1024	mutate_held_snapshot	10000	1.936	193.600	0.000000	0.582092	229408	1056	10000
arc	100000	64	1024	incr_held_snapshot	10000	1.942	194.225	0.000000	0.582092	244896	448	5636856418155096524
seg	100000	64	1024	snapshot	1	0.003	3417.000	0.000000	0.000000	250400	0	40
seg	100000	64	1024	iter_snapshot	100000	0.610	6.103	0.000000	0.000000	250400	0	12750032
seg	100000	64	1024	get_live	200000	16.983	84.914	0.000000	0.000000	250400	0	25499000
seg	100000	64	1024	replace_live	10000	10.649	1064.917	0.000000	0.000000	255088	0	10000
seg	100000	64	1024	mutate_live	10000	1.267	126.729	0.000000	0.000000	260304	0	10000
seg	100000	64	1024	incr_live	10000	1.332	133.179	0.000000	0.000000	265008	64	5277990220101649612
seg	100000	64	1024	replace_held_snapshot	10000	3.970	397.017	1.525879	0.000000	274816	4624	10000
seg	100000	64	1024	mutate_held_snapshot	10000	3.723	372.304	1.525879	0.582092	284080	4624	10000
seg	100000	64	1024	incr_held_snapshot	10000	4.931	493.087	1.525879	0.582092	293344	4624	5277990220101649612
seg_hash	100000	64	1024	snapshot	1	0.004	3625.000	0.000000	0.000000	281264	0	40
seg_hash	100000	64	1024	iter_snapshot	100000	0.942	9.422	0.000000	0.000000	273072	-8192	12750032
seg_hash	100000	64	1024	get_live	200000	19.503	97.513	0.000000	0.000000	273072	0	25499000
seg_hash	100000	64	1024	replace_live	10000	8.998	899.767	0.000000	0.000000	279152	0	10000
seg_hash	100000	64	1024	mutate_live	10000	1.528	152.812	0.000000	0.000000	286080	0	10000
seg_hash	100000	64	1024	incr_live	10000	1.762	176.200	0.000000	0.000000	293072	0	5277990220101649612
seg_hash	100000	64	1024	replace_held_snapshot	10000	4.641	464.054	1.525314	0.000000	304336	4816	10000
seg_hash	100000	64	1024	mutate_held_snapshot	10000	4.508	450.758	1.525314	0.582092	314016	4816	10000
seg_hash	100000	64	1024	incr_held_snapshot	10000	4.448	444.758	1.525314	0.582092	317088	1776	5277990220101649612
im	100000	64	1024	snapshot	1	0.000	42.000	0.000000	0.000000	344896	0	24
im	100000	64	1024	iter_snapshot	100000	10.692	106.925	0.000000	0.000000	344912	16	12750672
im	100000	64	1024	get_live	200000	22.490	112.449	0.000000	0.000000	344912	0	25473272
im	100000	64	1024	replace_live	10000	14.746	1474.579	0.000000	0.000000	385184	0	10000
im	100000	64	1024	mutate_live	10000	1.963	196.292	0.000000	0.000000	433856	0	10000
im	100000	64	1024	incr_live	10000	2.585	258.546	0.000000	0.000000	485200	0	5853332807599718092
im	100000	64	1024	replace_held_snapshot	10000	9.458	945.796	0.529907	0.000000	553472	15040	10000
im	100000	64	1024	mutate_held_snapshot	10000	9.318	931.763	0.530945	0.582092	621824	15120	10000
im	100000	64	1024	incr_held_snapshot	10000	9.127	912.675	0.529480	0.582092	689936	14992	5853332807599718092
