variant	keys	value_bytes	segments	phase	ops	elapsed_ms	ns_per_op	key_clone_mb	payload_clone_mb	rss_kb	rss_delta_kb	checksum
deep	100000	64	1024	snapshot	1	7.389	7388541.000	1.525879	6.103516	35520	14240	48
deep	100000	64	1024	iter_snapshot	100000	0.274	2.737	0.000000	0.000000	41936	0	12747088
deep	100000	64	1024	get_live	200000	9.550	47.749	0.000000	0.000000	42032	96	25501560
deep	100000	64	1024	replace_live	10000	10.972	1097.204	0.000000	0.000000	56176	0	10000
deep	100000	64	1024	mutate_live	10000	0.988	98.817	0.000000	0.000000	70272	0	10000
deep	100000	64	1024	incr_live	10000	0.803	80.304	0.000000	0.000000	84400	0	4697570005460379596
deep	100000	64	1024	replace_held_snapshot	10000	1.519	151.863	0.000000	0.000000	113216	592	10000
deep	100000	64	1024	mutate_held_snapshot	10000	0.723	72.279	0.000000	0.000000	141440	0	10000
deep	100000	64	1024	incr_held_snapshot	10000	0.779	77.875	0.000000	0.000000	169680	0	4697570005460379596
arc	100000	64	1024	snapshot	1	2.711	2710834.000	1.525879	0.000000	175904	480	48
arc	100000	64	1024	iter_snapshot	100000	0.717	7.173	0.000000	0.000000	175904	0	12749520
arc	100000	64	1024	get_live	200000	11.461	57.303	0.000000	0.000000	175904	0	25522040
arc	100000	64	1024	replace_live	10000	17.685	1768.492	0.000000	0.000000	184848	0	10000
arc	100000	64	1024	mutate_live	10000	1.340	133.971	0.000000	0.000000	193776	0	10000
arc	100000	64	1024	incr_live	10000	0.940	94.000	0.000000	0.000000	202704	0	5636856418155096524
arc	100000	64	1024	replace_held_snapshot	10000	1.357	135.704	0.000000	0.000000	216336	448	10000
arc	100000	64	1024	mutate_held_snapshot	10000	1.862	186.183	0.000000	0.582092	229952	432	10000
arc	100000	64	1024	incr_held_snapshot	10000	2.139	213.883	0.000000	0.582092	243584	448	5636856418155096524
seg	100000	64	1024	snapshot	1	0.008	7625.000	0.000000	0.000000	249008	16	40
seg	100000	64	1024	iter_snapshot	100000	0.724	7.243	0.000000	0.000000	249072	64	12750032
seg	100000	64	1024	get_live	200000	13.781	68.906	0.000000	0.000000	249072	0	25499000
seg	100000	64	1024	replace_live	10000	16.765	1676.475	0.000000	0.000000	254368	0	10000
seg	100000	64	1024	mutate_live	10000	1.188	118.792	0.000000	0.000000	259040	0	10000
seg	100000	64	1024	incr_live	10000	1.202	120.217	0.000000	0.000000	263728	0	5277990220101649612
seg	100000	64	1024	replace_held_snapshot	10000	3.280	328.046	1.525879	0.000000	273536	4624	10000
seg	100000	64	1024	mutate_held_snapshot	10000	3.973	397.258	1.525879	0.582092	283392	4624	10000
seg	100000	64	1024	incr_held_snapshot	10000	3.746	374.554	1.525879	0.582092	292672	4640	5277990220101649612
seg_hash	100000	64	1024	snapshot	1	0.004	3583.000	0.000000	0.000000	293664	0	40
seg_hash	100000	64	1024	iter_snapshot	100000	0.960	9.600	0.000000	0.000000	293664	0	12750032
seg_hash	100000	64	1024	get_live	200000	22.457	112.285	0.000000	0.000000	293664	0	25499000
seg_hash	100000	64	1024	replace_live	10000	4.338	433.800	0.000000	0.000000	302848	192	10000
seg_hash	100000	64	1024	mutate_live	10000	1.321	132.133	0.000000	0.000000	313216	0	10000
seg_hash	100000	64	1024	incr_live	10000	1.621	162.100	0.000000	0.000000	305024	0	5277990220101649612
seg_hash	100000	64	1024	replace_held_snapshot	10000	3.587	358.712	1.525879	0.000000	307472	0	10000
seg_hash	100000	64	1024	mutate_held_snapshot	10000	4.715	471.529	1.525879	0.582092	319584	1104	10000
seg_hash	100000	64	1024	incr_held_snapshot	10000	4.612	461.192	1.525879	0.582092	338080	5824	5277990220101649612
im	100000	64	1024	snapshot	1	0.000	42.000	0.000000	0.000000	349600	0	24
im	100000	64	1024	iter_snapshot	100000	10.930	109.298	0.000000	0.000000	349616	16	12750672
im	100000	64	1024	get_live	200000	21.688	108.438	0.000000	0.000000	349616	0	25473272
im	100000	64	1024	replace_live	10000	7.562	756.179	0.000000	0.000000	397872	0	10000
im	100000	64	1024	mutate_live	10000	2.525	252.508	0.000000	0.000000	446576	0	10000
im	100000	64	1024	incr_live	10000	3.134	313.433	0.000000	0.000000	503456	0	5853332807599718092
im	100000	64	1024	replace_held_snapshot	10000	9.160	915.954	0.533875	0.000000	564688	14816	10000
im	100000	64	1024	mutate_held_snapshot	10000	9.585	958.542	0.531082	0.582092	631568	15088	10000
im	100000	64	1024	incr_held_snapshot	10000	9.419	941.879	0.531937	0.582092	700528	15744	5853332807599718092
