variant	keys	value_bytes	segments	phase	ops	elapsed_ms	ns_per_op	key_clone_mb	payload_clone_mb	checksum
deep	10000	64	256	snapshot	1	0.710	710000.000	0.152588	0.610352	48
deep	10000	64	256	iter_snapshot	10000	0.028	2.758	0.000000	0.000000	1274152
deep	10000	64	256	get_live	100000	2.784	27.836	0.000000	0.000000	12771405
deep	10000	64	256	replace_live	5000	1.147	229.342	0.000000	0.000000	5000
deep	10000	64	256	mutate_live	5000	0.147	29.358	0.000000	0.000000	5000
deep	10000	64	256	replace_held_snapshot	5000	1.720	343.942	0.000000	0.000000	5000
deep	10000	64	256	mutate_held_snapshot	5000	0.150	29.925	0.000000	0.000000	5000
arc	10000	64	256	snapshot	1	0.243	243250.000	0.152588	0.000000	48
arc	10000	64	256	iter_snapshot	10000	0.030	3.017	0.000000	0.000000	1274856
arc	10000	64	256	get_live	100000	2.687	26.869	0.000000	0.000000	12759629
arc	10000	64	256	replace_live	5000	1.001	200.150	0.000000	0.000000	5000
arc	10000	64	256	mutate_live	5000	0.163	32.533	0.000000	0.000000	5000
arc	10000	64	256	replace_held_snapshot	5000	0.478	95.667	0.000000	0.000000	5000
arc	10000	64	256	mutate_held_snapshot	5000	0.464	92.800	0.000000	0.236816	5000
seg	10000	64	256	snapshot	1	0.001	541.000	0.000000	0.000000	32
seg	10000	64	256	iter_snapshot	10000	0.032	3.204	0.000000	0.000000	1274536
seg	10000	64	256	get_live	100000	2.783	27.826	0.000000	0.000000	12736333
seg	10000	64	256	replace_live	5000	0.830	165.900	0.000000	0.000000	5000
seg	10000	64	256	mutate_live	5000	0.156	31.175	0.000000	0.000000	5000
seg	10000	64	256	replace_held_snapshot	5000	0.683	136.517	0.152588	0.000000	5000
seg	10000	64	256	mutate_held_snapshot	5000	0.638	127.633	0.152588	0.236816	5000
im	10000	64	256	snapshot	1	0.000	0.000	0.000000	0.000000	24
im	10000	64	256	iter_snapshot	10000	0.251	25.129	0.000000	0.000000	1273320
im	10000	64	256	get_live	100000	3.274	32.738	0.000000	0.000000	12728909
im	10000	64	256	replace_live	5000	0.515	102.950	0.000000	0.000000	5000
im	10000	64	256	mutate_live	5000	0.208	41.650	0.000000	0.000000	5000
im	10000	64	256	replace_held_snapshot	5000	1.129	225.750	0.134979	0.000000	5000
im	10000	64	256	mutate_held_snapshot	5000	1.131	226.275	0.136139	0.236816	5000
