variant	keys	value_bytes	segments	phase	ops	elapsed_ms	ns_per_op	key_clone_mb	payload_clone_mb	rss_kb	rss_delta_kb	checksum
deep	1000000	64	16384	snapshot	1	131.180	131180292.000	15.258789	61.035156	400704	178688	48
deep	1000000	64	16384	iter_snapshot	1000000	4.792	4.792	0.000000	0.000000	442496	64	127496864
deep	1000000	64	16384	get_live	300000	48.220	160.735	0.000000	0.000000	442496	0	38209039
deep	1000000	64	16384	replace_live	10000	6.089	608.888	0.000000	0.000000	590576	560	10000
deep	1000000	64	16384	mutate_live	10000	4.127	412.738	0.000000	0.000000	768768	32	10000
deep	1000000	64	16384	incr_live	10000	4.160	415.988	0.000000	0.000000	943600	0	14683054914788319155
deep	1000000	64	16384	replace_held_snapshot	10000	3.972	397.204	0.000000	0.000000	1301552	624	10000
deep	1000000	64	16384	mutate_held_snapshot	10000	1.843	184.275	0.000000	0.000000	1658464	16	10000
deep	1000000	64	16384	incr_held_snapshot	10000	2.614	261.383	0.000000	0.000000	2015408	0	14683054914788319155
seg_hash	1000000	64	16384	snapshot	1	0.112	112125.000	0.000000	0.000000	2146640	128	40
seg_hash	1000000	64	16384	iter_snapshot	1000000	20.358	20.358	0.000000	0.000000	2146640	0	127494816
seg_hash	1000000	64	16384	get_live	300000	90.185	300.618	0.000000	0.000000	2146672	32	38224399
seg_hash	1000000	64	16384	replace_live	10000	8.449	844.908	0.000000	0.000000	2308080	1472	10000
seg_hash	1000000	64	16384	mutate_live	10000	5.676	567.612	0.000000	0.000000	2479776	0	10000
seg_hash	1000000	64	16384	incr_live	10000	6.741	674.054	0.000000	0.000000	2651088	0	14461503183847870643
seg_hash	1000000	64	16384	replace_held_snapshot	10000	42.028	4202.833	13.976257	0.000000	2870608	49296	10000
seg_hash	1000000	64	16384	mutate_held_snapshot	10000	42.829	4282.929	13.976257	0.607239	3060832	49184	10000
seg_hash	1000000	64	16384	incr_held_snapshot	10000	43.318	4331.829	13.976257	0.607239	3220592	49344	14461503183847870643
im	1000000	64	16384	snapshot	1	0.000	291.000	0.000000	0.000000	3243632	0	24
im	1000000	64	16384	iter_snapshot	1000000	146.470	146.470	0.000000	0.000000	3243648	16	127494048
im	1000000	64	16384	get_live	300000	81.556	271.852	0.000000	0.000000	3243680	32	38235663
im	1000000	64	16384	replace_live	10000	6.393	639.300	0.000000	0.000000	3696944	0	10000
im	1000000	64	16384	mutate_live	10000	2.793	279.275	0.000000	0.000000	4154896	0	10000
im	1000000	64	16384	incr_live	10000	5.136	513.633	0.000000	0.000000	4618368	0	13738124639936568499
im	1000000	64	16384	replace_held_snapshot	10000	21.046	2104.579	1.784058	0.000000	5082256	24240	10000
im	1000000	64	16384	mutate_held_snapshot	10000	22.585	2258.475	1.770432	0.607239	5592128	24528	10000
im	1000000	64	16384	incr_held_snapshot	10000	20.505	2050.488	1.772644	0.607239	6128064	24752	13738124639936568499
