variant	keys	value_bytes	segments	phase	ops	elapsed_ms	ns_per_op	key_clone_mb	payload_clone_mb	rss_kb	rss_delta_kb	checksum
deep	1000000	64	16384	snapshot	1	116.911	116910834.000	15.258789	61.035156	400640	178720	48
deep	1000000	64	16384	iter_snapshot	1000000	2.908	2.908	0.000000	0.000000	411056	0	127496864
deep	1000000	64	16384	get_live	300000	43.260	144.200	0.000000	0.000000	411120	0	38209039
deep	1000000	64	16384	replace_live	10000	3.424	342.387	0.000000	0.000000	580032	592	10000
deep	1000000	64	16384	mutate_live	10000	3.800	380.017	0.000000	0.000000	758192	0	10000
deep	1000000	64	16384	incr_live	10000	3.106	310.562	0.000000	0.000000	936816	0	14683054914788319155
deep	1000000	64	16384	replace_held_snapshot	10000	3.527	352.675	0.000000	0.000000	1294640	640	10000
deep	1000000	64	16384	mutate_held_snapshot	10000	1.796	179.592	0.000000	0.000000	1651600	16	10000
deep	1000000	64	16384	incr_held_snapshot	10000	1.925	192.463	0.000000	0.000000	2008912	0	14683054914788319155
seg_hash	1000000	64	16384	snapshot	1	0.061	60625.000	0.000000	0.000000	2136224	128	40
seg_hash	1000000	64	16384	iter_snapshot	1000000	17.435	17.435	0.000000	0.000000	2136224	0	127494816
seg_hash	1000000	64	16384	get_live	300000	79.140	263.799	0.000000	0.000000	2136304	64	38224399
seg_hash	1000000	64	16384	replace_live	10000	7.743	774.288	0.000000	0.000000	2261264	1584	10000
seg_hash	1000000	64	16384	mutate_live	10000	3.356	335.558	0.000000	0.000000	2384624	0	10000
seg_hash	1000000	64	16384	incr_live	10000	3.541	354.137	0.000000	0.000000	2509104	0	14461503183847870643
seg_hash	1000000	64	16384	replace_held_snapshot	10000	25.682	2568.200	7.015442	0.000000	2645984	27072	10000
seg_hash	1000000	64	16384	mutate_held_snapshot	10000	24.709	2470.921	7.015442	0.607239	2801488	22496	10000
seg_hash	1000000	64	16384	incr_held_snapshot	10000	27.526	2752.571	7.015442	0.607239	2979584	23712	14461503183847870643
im	1000000	64	16384	snapshot	1	0.000	167.000	0.000000	0.000000	2873216	0	24
im	1000000	64	16384	iter_snapshot	1000000	143.252	143.252	0.000000	0.000000	2873232	16	127494048
im	1000000	64	16384	get_live	300000	78.458	261.526	0.000000	0.000000	2873232	0	38235663
im	1000000	64	16384	replace_live	10000	8.706	870.646	0.000000	0.000000	3341728	1056	10000
im	1000000	64	16384	mutate_live	10000	6.170	617.050	0.000000	0.000000	3877488	0	10000
im	1000000	64	16384	incr_live	10000	7.735	773.454	0.000000	0.000000	4403536	0	13738124639936568499
im	1000000	64	16384	replace_held_snapshot	10000	26.155	2615.471	1.778488	0.000000	4937232	23968	10000
im	1000000	64	16384	mutate_held_snapshot	10000	23.829	2382.933	1.778183	0.607239	5466272	24912	10000
im	1000000	64	16384	incr_held_snapshot	10000	25.651	2565.146	1.777191	0.607239	6020496	24192	13738124639936568499
