variant	keys	value_bytes	segments	phase	ops	elapsed_ms	ns_per_op	key_clone_mb	payload_clone_mb	checksum
deep	1000000	64	4096	snapshot	1	109.858	109857583.000	15.258789	61.035156	48
deep	1000000	64	4096	iter_snapshot	1000000	3.103	3.103	0.000000	0.000000	127496864
deep	1000000	64	4096	get_live	300000	44.518	148.393	0.000000	0.000000	38209039
deep	1000000	64	4096	replace_live	10000	3.436	343.567	0.000000	0.000000	10000
deep	1000000	64	4096	mutate_live	10000	2.333	233.321	0.000000	0.000000	10000
deep	1000000	64	4096	replace_held_snapshot	10000	3.419	341.904	0.000000	0.000000	10000
deep	1000000	64	4096	mutate_held_snapshot	10000	2.886	288.637	0.000000	0.000000	10000
arc	1000000	64	4096	snapshot	1	73.065	73065292.000	15.258789	0.000000	48
arc	1000000	64	4096	iter_snapshot	1000000	15.555	15.555	0.000000	0.000000	127495840
arc	1000000	64	4096	get_live	300000	53.557	178.523	0.000000	0.000000	38181775
arc	1000000	64	4096	replace_live	10000	5.819	581.908	0.000000	0.000000	10000
arc	1000000	64	4096	mutate_live	10000	3.651	365.075	0.000000	0.000000	10000
arc	1000000	64	4096	replace_held_snapshot	10000	3.590	358.992	0.000000	0.000000	10000
arc	1000000	64	4096	mutate_held_snapshot	10000	6.018	601.829	0.000000	0.607239	10000
seg	1000000	64	4096	snapshot	1	0.022	21959.000	0.000000	0.000000	32
seg	1000000	64	4096	iter_snapshot	1000000	9.485	9.486	0.000000	0.000000	127494816
seg	1000000	64	4096	get_live	300000	63.076	210.254	0.000000	0.000000	38224399
seg	1000000	64	4096	replace_live	10000	5.338	533.788	0.000000	0.000000	10000
seg	1000000	64	4096	mutate_live	10000	3.776	377.592	0.000000	0.000000	10000
seg	1000000	64	4096	replace_held_snapshot	10000	44.777	4477.708	13.969696	0.000000	10000
seg	1000000	64	4096	mutate_held_snapshot	10000	41.404	4140.446	13.969696	0.607239	10000
im	1000000	64	4096	snapshot	1	0.000	41.000	0.000000	0.000000	24
im	1000000	64	4096	iter_snapshot	1000000	156.792	156.792	0.000000	0.000000	127494048
im	1000000	64	4096	get_live	300000	92.441	308.137	0.000000	0.000000	38235663
im	1000000	64	4096	replace_live	10000	7.002	700.221	0.000000	0.000000	10000
im	1000000	64	4096	mutate_live	10000	3.428	342.808	0.000000	0.000000	10000
im	1000000	64	4096	replace_held_snapshot	10000	22.294	2229.421	1.793640	0.000000	10000
im	1000000	64	4096	mutate_held_snapshot	10000	23.183	2318.271	1.770691	0.607239	10000
