mode=build | 3 commit(s) | free 86.7 GB | image 8g | per-file cap 1024 MB | config 7ad3b432f7d4
mounted /Volumes/convsafe (image free 8.3 GB)

[1/3] 2026-05-23 a93a2ad1a building...
    Strings        unit/type/string           no-summary   | sys free 86.3 GB
    Incr           unit/type/incr                  31/31   | sys free 86.3 GB
    Lists          unit/type/list                timeout   | sys free 87.1 GB
    Hashes         unit/type/hash             no-summary   | sys free 87.1 GB
    Sets           unit/type/set                 114/114   | sys free 87.0 GB
    Sorted sets    unit/type/zset             no-summary   | sys free 87.0 GB
    Streams        unit/type/stream              timeout   | sys free 86.9 GB
    Stream groups  unit/type/stream-cgroups   no-summary   | sys free 86.9 GB
    Protocol       unit/protocol              no-summary   | sys free 86.9 GB
    Keyspace       unit/keyspace                   63/65   | sys free 86.9 GB
    Expire         unit/expire                no-summary   | sys free 86.9 GB
    Bitops         unit/bitops                     50/50   | sys free 86.8 GB
    Geo            unit/geo                        71/71   | sys free 86.3 GB
    Scan           unit/scan                       21/21   | sys free 86.3 GB
    -> 350 passing | sys free 86.3 GB
[2/3] 2026-05-24 32667a1b6 building...
    Strings        unit/type/string              104/104   | sys free 86.1 GB
    Incr           unit/type/incr                  31/31   | sys free 86.1 GB
    Lists          unit/type/list                254/254   | sys free 86.0 GB
    Hashes         unit/type/hash                  83/83   | sys free 86.0 GB
    Sets           unit/type/set                 114/114   | sys free 86.0 GB
    Sorted sets    unit/type/zset                318/318   | sys free 86.0 GB
    Streams        unit/type/stream              timeout   | sys free 85.7 GB
    Stream groups  unit/type/stream-cgroups   no-summary   | sys free 85.7 GB
    Protocol       unit/protocol                   28/28   | sys free 85.7 GB
    Keyspace       unit/keyspace                   65/65   | sys free 85.7 GB
    Expire         unit/expire                     65/65   | sys free 85.6 GB
    Bitops         unit/bitops                     50/50   | sys free 85.6 GB
    Geo            unit/geo                        71/71   | sys free 85.6 GB
    Scan           unit/scan                       21/21   | sys free 85.6 GB
    -> 1204 passing | sys free 85.6 GB
[3/3] 2026-05-25 f4c16b7bf building...
    Strings        unit/type/string              104/104   | sys free 85.4 GB
    Incr           unit/type/incr                  31/31   | sys free 85.4 GB
    Lists          unit/type/list                254/254   | sys free 85.4 GB
    Hashes         unit/type/hash                  83/83   | sys free 85.4 GB
    Sets           unit/type/set                 114/114   | sys free 85.4 GB
    Sorted sets    unit/type/zset                318/318   | sys free 85.4 GB
    Streams        unit/type/stream              timeout   | sys free 85.4 GB
    Stream groups  unit/type/stream-cgroups        59/59   | sys free 85.4 GB
    Protocol       unit/protocol                   28/28   | sys free 85.4 GB
    Keyspace       unit/keyspace                   65/65   | sys free 85.4 GB
    Expire         unit/expire                     65/65   | sys free 85.4 GB
    Bitops         unit/bitops                     50/50   | sys free 85.4 GB
    Geo            unit/geo                        71/71   | sys free 85.4 GB
    Scan           unit/scan                       21/21   | sys free 85.4 GB
    -> 1263 passing | sys free 85.4 GB

DONE | free 86.7 -> 85.4 GB (max drop 1.26 GB)
