mode=current-binary | 1 commit(s) | workers=1 | sandbox=convsafe port=31000 | free 76.3 GB | config c77842583f5b
mounted /Volumes/convsafe (image free 8.3 GB)

[1/1] 2026-05-26 04e63ab53 measuring existing binary (x1)...
    ACL v2           unit/acl-v2                no-summary  | sys free 76.3 GB
    ACL              unit/acl                      112/112  | sys free 76.3 GB
    AOF rewrite      unit/aofrw                 no-summary  | sys free 76.2 GB
    Auth             unit/auth                       16/16  | sys free 76.2 GB
    Bitfield         unit/bitfield                   18/18  | sys free 76.2 GB
    Bitops           unit/bitops                     50/50  | sys free 76.2 GB
    Client eviction  unit/client-eviction            14/14  | sys free 76.2 GB
    Command log      unit/commandlog                 14/14  | sys free 76.2 GB
    Dump/Restore     unit/dump                       27/27  | sys free 76.2 GB
    Expire           unit/expire                     65/65  | sys free 76.2 GB
    Functions        unit/functions                  94/94  | sys free 76.2 GB
    Fuzzer           unit/fuzzer                       1/1  | sys free 76.2 GB
    Geo              unit/geo                        71/71  | sys free 76.2 GB
